text,label
"back to the grind on monday...depressing ","1"
"@Out_of_the_Box PS sorry I didn't make it tonight, was just exhausted and depressed and didn't want to do much of anything.  Miss you...","1"
"really upset about derek closing his channel. ","1"
"sad&amp;depressed right now ","1"
"@ambvymarie Why are you depressed?  ","1"
"@aubsomidkiff That is depressing. ","1"
"my boyfriend has decided to depress me by putting in Paradise Lost. ","1"
"would like the world to stop talking about IPL already. I'm depressed. Thanks to DVD mixup, no Rosencrantz and Guildenstern. ","1"
"I feel so swollen  waiting for the movers to show up and still clearing things up. My dad woke up upset at our progress. We slept 5 hours","1"
"Ugh I think I had but a half hour of sleep. I'm so bummed, last night was upsetting ","1"
"halftime break. the match has been.. depressing. wtf, FCB? and what's worse is that Leverkusen is losing ","1"
"We are off to New York. Left at about 5:30. This is so depressing.  How's the weather up there?","1"
"Driving down I-192 in Orlando and seeing all the closed down businesses :/. It's pretty depressing   #fb","1"
"my stomach is upset this morning. I think a treat would help, but I may barf if I stand up. mom says my tummy sounds are loud and gross. ","1"
"@SMMpharmd yeah, i know, i am! duh. @ceedubb6 thats so upsetting ","1"
"@Simon_0116 history. i cant be bothered tbh. yer not on msn ","1"
"@GreyEyes Yeah, that does bother me a lot as well.  I'm all for multiculturalism as long as someone isn't being hurt or oppressed.","1"
"@ChrisCarnall you are too kind &amp; very encouraging...actually rather depressing seeing how little impact lots of hard work actually had ","1"
"has to go to work but cannot be bothered! just want to stay home and sing  5 hours of family guy tonite!! WOOP","1"
"guy in front of me can't figure out the ATM... so depressing... ","1"
"Am trying to figure out how DD got 40 followers...  upset is not the word","1"
"Well done to Wolves for getting promoted I'm very upset that Charlton are now confirmed to be playing Division 1 next season ","1"
"The music in Arbys is depressing. ","1"
"@Vanessa_Blue i am until upset for the videochat yesterday.  ","1"
"@Mom3CuteBoys He is not excited, but having a lot of anxiety today.  I don't know how to help him when he is like this   #autism #asd","1"
"@absentelk http://twitpic.com/31kwi - Awww, Me and Kay saw some cows at the farm.  They looked depressed.  Badtimes.    Kay name ...","1"
"My desk is completely covered in paperwork... None of it being related to Programming and all of it being related to taxes saddens me. ","1"
"do i even bother watching RH? its so shit now ","1"
"sick all day yesterday with the flume  so upsetting. watching pretty in pink right now to recover. this movie hurts me.","1"
"dreading sifting through myspace friends requests. have let it mount up too long = depressing saturday night in ","1"
"@maprangmalts eh....don't ask, it'll just depress you  study hard for exams!","1"
"@tiffmcmillan  that saddens me too....","1"
"@Has_Bookpushers I'm so freaking depressed. I knew what would happen, but still. ","1"
"has had a headache for 3 days and need to do coursework  cant be bothered","1"
"Looking through a speedpaint thread in an art forum. Everything is digital. I'm depressed. ","1"
"@sophiaannabush well im just upset about this houston weather. its been ruining all my plans ","1"
"Man, this mini fridge is awesome! Its damn upsetting to know that it won't be in my bedroom. Please Dad, please let me have it. ","1"
"upset that some of my favorite bands aren't playing Warped this year. ","1"
"@GabrielSaporta The rain is depressing... ","1"
"@princessq82 dang tammy  but im not bothering anyone!! lol my motto!?!","1"
"I'm going to bed feeling a bit depressed. Not really looking forward to tomorrow ","1"
"Attempting to watch this game.. It's depressing....  And they would be playing &quot;If ya happy and u know it&quot;","1"
"Another Saturday night and another night shift. I must of upset someone at the office to keep getting these ","1"
"is depressed cuz corr cant com 2 the mall with her. ","1"
"@tommcfly why didn't you twitter during the gig, tom? im upset  ;)","1"
"had a grilled steak but now my tummy is upset ","1"
"is tired and has an upset stomach ","1"
"@framolamdu i thought it was the clone when i saw it so wasn't too upset but then found out he has definitely left the series ","1"
"Oh no.. post camp depression is kicking in ","1"
"Damn you, Noah Wyle, and your depressing polar bear commercial! ","1"
"has been watching the film The Visitor and is feeling depressed. ","1"
"@zarrr got canceled  so upset! what are you doing today","1"
"daddy cuddle abandoned in favour of mummy cuddle. No significant improvement in amount of upset yet ","1"
"is goin to bed nooow. night everyoneee. &lt;3 last day of freedom tomorrow  sooo depressed about that.","1"
"@JLSOfficial am well gutted!! i need2 meet you soon im literally dying, cant face food. ma mums goin nuts at me  reaally upset!","1"
"A little depressed after finding out how much taxes i owe ","1"
"Need another hit of NKOTB..I'm starting to get depressed ","1"
"@THE_REAL_SHAQ im very upset, coz my brother just got kicked out of work n i really dont know what to say to him... ","1"
"Is really upset that she doesn't have any time off with will ","1"
"@xElenix_Echelon why do holidays depress u? ","1"
"@hlao_roe the annoying thing was that we were acting consultants but the company didn't bother charging the customer the going rate ","1"
"@arseblog couldnt agree more, so upset  gibbs and theo the only real positives and even then thats looking hard for that silver lining","1"
"Devin is feeling down and depressed today. don't like the feeling one bit ","1"
"has had a really depressing day and wants help to chear up.  xx xx","1"
"How depressing, an empty tic tax box ","1"
"@theacademyliz i would be so upset ","1"
"Just made a service that's wholly depressing. Shows everybody I'm following that's not following back. ","1"
"Cannot figure out what I have eaten today that had upset my stomach. ","1"
"Another bad game for the Angels  Thank goodness the Anteaters are doing well, or else this'd be a depressing baseball weekend","1"
"Going to bed now. It's been a long depressing rainy day!  Nite!","1"
"is so upset that i'm sick because I wanted to run on the beach at Asbury Park tommorow ","1"
"My phone is still broken. I'm camping with work again so it won't really bother me until tomorrow. Ugh ","1"
"is upset that @cassyecky  hasn't been on twitter lately. Where r u?i miss u ","1"
"in odd saddened state of shock, grandpa passed away ","1"
"Going to bed hungry...  Is my twitter page depressing? lol","1"
"@KELLY__ROWLAND I haven't noticed a twit from you all day...kinda upset by that thought ","1"
"Rachael Yamagata- Duet, Augustana-Sweet and Low (acoustic), Mayday Parade- Miserable at Best...Oh me and my depressing music ","1"
"errands-induction-meeting-meeting-homework...      this is depressing","1"
"Liddell lost tonight  .. upset but not surprised, he is getting too old to fight.","1"
"@drekiad4l aww now i feel bad  but i didnt want to bother YOU were working lol. didnt wanna get the bitch u bothering me side eye lol","1"
"Witching hour.  Call for a domestic desturbance.  Poor lady.  she's really upset and looks hurt.  K9s here.","1"
"Is quiet upset as my bf gave me the flick via a text message and now dont have the guts 2 tell me why or vn talk 2 me!!!! ","1"
"can't clean her room when she's not listening to britney. how depressing ","1"
"Is caught off guard, saddened, and confused by the actions of a close friend. Wondering if its due to alcohol?? Completely bewildered. ","1"
"i cant stop thinking about my ex its crazy. hes soooo over me but im not over him  ergh depressive","1"
"ive broken PHP  it can stay broke its sunday morning and i cant be bothered","1"
" i am depressed again. i miss home so much right now!","1"
"@aubreyoday Honey I'm/was a huge fan of DK it's sad how you guys (not including andrea and dawn) let it go so easily very depressing  !!!!","1"
"you know whats depressing? Arriving at the airport and having nobody to greet you  in other news, dublin is sunny today....","1"
"Just watched Seven Pounds.  Feel vaguely depressed.  ","1"
"#asot400 --- Best weekend ever ... no livestes tomorrow ... no video stream ... most depressing Sunday ever! ","1"
"I'm wearing my BMW t-shirt today, so it's quite upsetting to see them struggling so much ","1"
"was saddened by kisschristy's first person twitter ","1"
"@reedes - yes, but it was better than the 2008 Australian film I just watched then. :/ And less than 1/12 the length. I is depressed. ","1"
"is upset @ my situation  -im sick- cpa exam is in less 2 wks- im tired- ive missed out on so much already-my wallet is still gone &amp; more","1"
"I got so upset my stomach kills.  lord help me","1"
"V depressed at revelations that favourite DJ will be leaving breakfast show. Don't think i'll listen after chris and team go. ","1"
"I can't believe how depressed I am.  Four days after coming back, and it's in full force now. ","1"
"finaly done and showered. gonna go to sleep. my bro's home, might me fired  im saddened by this fact","1"
"me and my big mouth. this is so upsetting ","1"
"Being thankful I didn't bother going to watch the defensive horror show yesterday... ","1"
"sat at home being depressed ","1"
"@JoelMadden That film broke my kids hearts i had them crying for about 3 hours. And it had me upset before it even got to him dying to ","1"
"is heading back to depressed'ville... i hate this ","1"
"@amazingphoebe if what had been said in that text message didn't bother me, you'd think i didn't care, true? ","1"
"Sitting up listening to music till 4am cause you're upset isn't wise. Boo to only 6 hours sleep ","1"
"And as every sunday...here comes the anxiety about tomorrow... ","1"
"Ok I'm upset!!!! woke up and put the telly on just as the news told me who won the grand prix!!!!!   #formula1","1"
"Read the synopsis for the latest doctor who online. It's sad how I can't be bothered to watch it ","1"
"Just broke off all my fake nails so i can get them redone (good) for the formal.  Slightly upset about it at the moment ","1"
"is very upset now.. she forgot to wash her newly bought white shirt seperately..... and that was her fav shirt  !@#$%^&amp;*()_+|","1"
"just gotta footnote...nearly finished...missing dance final tho...this saddens me ","1"
"is soo tired from todays game  and a bit upset cause she can't watch Manchester play ","1"
"Up at 6 am, going for a smoke, finish the rest of my gardening, hopin h-town will want to chill soon, twitter is depressing ","1"
"cant be bothered only now on my 2nd paragraph  essays suck !!! ;(","1"
"Oh... busy day   school work; shopping; riding: gettin ready; party!   Soooo can't be bothered ","1"
"hate media work  so depressing. the anti mother is getting me through it though!","1"
"Need to go to tesco but can't be botherd getting taxi there and back and carying all my bags ","1"
"Fed up upset and don't feel well ","1"
"you know Monnie's upset when she ignores the raid and start abusing people on MySpace. Someone make me happy ","1"
"@jeffpulver sayin' &quot;hi&quot;. Still upset I missed your Dec. 2008 b'fast in TelAviv  Question - any &quot;live&quot; feeds from media140 in London?","1"
"@helenaanneh i know!! the more i see them, the more upset i get ","1"
"Looking at some old logs between me and.. someone..  it's depressing me.. again &gt;_&lt;","1"
" gabi i'm still so upset about it","1"
"@hmcd03 my grandmother is in hospital she is dying  really upset bout that... and i start school again tommorow WOOO *im actually excited*","1"
"Sat here doing nothing...again!  needing to do loads of homework wich i cant be bothered to do really!","1"
"she is kinda upset tho that the deer have been eating off her tulip tops...  sorry mommy.. breakfast was great tho!!!","1"
"@xoxo_sam sam,. sori if u got upset last time we talked.. oh i mean the last time we chat sa may ym.  peace out! ILY&amp;&amp;IMY!","1"
"too much work. phone borked. very very upset.  don't really have any will anymore.","1"
"It saddens me that one of my best profs is also one of the worst ...due to him not marking anything or confirming what is on the exam ","1"
"Sheesh...we overslept for church  I'm saddened","1"
"No piggies though - Alfie v upset and thinks they have been made into bacon   http://twitpic.com/3ld0p","1"
"going to play softball yeah but we lost yesterday  so im upset because were in the silver bracket","1"
"Lost to the scum, depressed now ","1"
"Poor communication... Not riding today.. Couldn't be more upset  this weekend is not making me happy","1"
"the thought of school is making me depressed!  where the heck is marvin?? :o 3 days THREEE","1"
"veryy upset .. not likinq the sinqul life ","1"
"Oh I see I've been forgetfully stealing my housemates food. Stupid depression + bad memory ","1"
"registering for class just makes me depressed  but @kaityb i am soo excited for tomorrow!!","1"
"@Nellynoodler aw gosh yeah i bet it really sucks  hope they don't bother you too much! dinner party was gooood, hollie is a great cook! xx","1"
"Deadline on Wednesday, but can't write!!  Having separation anxiety with my 10-year old mobile number.","1"
"theres no way i can go to the invisible children rally. too short notice and all that shit. i am now upset ","1"
"@jek91 yess we need to do that too. and thats depressing  perhaps you should have gone to john hopkins and made things a little more c ...","1"
"is upset that she cant find a pair of sexy cut-out sandal boots anywhere ","1"
"@abirtmo can you get onto nicole? Need this DONE! Ugh, getting anxiety attacks about it now ","1"
"so she's having surgery and chris is really upset   will keep you updated though and talk to you next week..love you xx","1"
"@melvolner feel better. i would offer to help but i am working on a presentation for tonight  on depression","1"
"@timberwolf123 so she's having surgery and chris is really upset  will keep you updated though and talk to you next week..love you xx","1"
"@olivenright oh my god. i just saw a preview of half blood prince on e!news and i thought of alex, so depresssssing ","1"
"what a crappy day..equally depressing, i'm going to the cemetary. 1st time since the funeral..happy 90th birthday papa ","1"
"listenin 2 alica keys no one on vh1......makin me depressed reminds me off my x ","1"
"- Bored , last day of Easter has been ok - feels a bit upset but i dont know why  Arggh  School tomorrra - tht has made me feel even worse","1"
"Cuddy bashing gets on my nerves, argh!  Also, I need to shower but I can't be bothered moving.  And I want someone to talk to. ","1"
"organising clothes for college etc tonight   argh it make's me depressed..","1"
"Thought it was just allergies yesterday that were bothering me . . . appears though that my cold has come back . . . ","1"
"At home.. Bored kinda depressed wondering why can't find someone who wants to be with him ","1"
"HEEEEY new to twitter!!! upset cuz i cab't tell if the people are fake or the real celebrities!!     &lt;3  DON'T FORGET &lt;3","1"
"is upset....prolly gunna be stuck home all day...yay spring break ","1"
"Is deply upset over man united's loss  deeply upset","1"
"Can't be bothered to do more cardiovascular papers  lol","1"
"@LocoForLomo i saw it on the 10th. i kinda rocked my world! but mitchel was only in one scene which made me a little upset ","1"
"Video is offically finished  I'm just adding bits &amp; bobs to it as we speak. I just need to convert MPEG4 to WMA  can't be bothered.","1"
"cant be bothered with coursework  grrrrrrr","1"
"Sundays are always depressing, because you have to worry about Mondays the following day ","1"
"just got home from the fashion show rehersal... listening to depressing music to aid in my depression ","1"
"Very depressing. I still dont have senior pics from my seecer or robby  How am i supposed to remember How gorgemous they are if i got  ...","1"
"good day 2day! very tierd now plus lots of studying ahead really cnt be botherd! Back to classes 2moro will suck! ","1"
"@cinderella1623 That's depressing ","1"
"Feel upset, that I've missed the hot stuff of the goooood Tennant. ","1"
"My kitchen is trashed. Very upsetting  [?]","1"
"guess I'll go study...still upset I didn't find anything to buy at the mall ","1"
"@_LailaN aww i have been worried bout ya u bak on msn soon god my life is fucked anutie has only days 2 live so upset  txt me soon ly xxx","1"
"its getting dark now, depression is coming in like a flood of carbon monoxide. the weekend is over  tears.","1"
"So upset that spring break is like over ","1"
"I feel depressed now that all of this is over ","1"
"@Keels_90 nowhere now im currently depressed  sucks to be me","1"
"@BensonGoesRawrr not really, just upset, got dressed to go out somewhere, then got back into bed for no reason, im being a bit of a sook ","1"
"@AubreyODay ok im getting upset  call me lollll 4434156058","1"
"@will_wu seperation anxiety... ","1"
"@oldm8 been there done that, home depressed ","1"
"im beyond depressed. my southern boy is florida bound. i miss you already baby  but i'll see you soon. 'member that! &lt;33333","1"
"Auurgghh I feel like crap. My shoulder, arm, and leg ache. My stomach is upset. I feel weak. Blahhhh ","1"
"really can't be bothered with work ","1"
"Back to worl but having post-holiday depression.. ","1"
"Back to work but having post-holiday depression... ","1"
"depression sucks ","1"
"A light breakfast before I head to the gym... My lovely camera no longer works - upsetting both professional and HNT plans ","1"
"I feel that I am bothering much ","1"
"@perezhilton She answered it poorly -- but unfortunately, I didn't hear any boos from the audience, only applause   Very depressing ....","1"
"@Dancegurl91 i'm gr8 , except im saula depressed ","1"
"@flossa noooo bloody idea. upset about things i guess. ","1"
"wow i'm shocked and saddened to learn that clique lounge in covington has closed down.  they had some great electronic shows ","1"
"Is on her way to work, in this gorgeous weather! So depressing  someone want to cheer me up? Lol Xxx","1"
"Eugh. School today. I really can't be bothered. ","1"
"@barbsbooks feeling slightly depressed about now ","1"
"Only got 3 hours of sleep, and I woke up to an upset stomach. Today is not getting off to the best start. ","1"
"Looking at all the hate twitters about the company I work for  very depressing and hardly any positive twitters about them","1"
"*sometimes. fuck I can't type what I fucking mean. I hate being upset. ","1"
"Mondays are so depressing. Especially now that I noticed that I missed Ludum Dare again  http://ludumdare.com/","1"
"just got up, really should be doing coursework before going back to school tomorrow but i really can not be bothered ","1"
"i can't help but be depressed. haven't felt like this in years ","1"
"Doesn't want to go to bed.   I have to be up in 4 hours. I better not dream about anything upsetting.","1"
"just went to buy a Twitter mug on Zazzle that imports all your followers onto it, very nice. But the delivery is as much as mug me upset ","1"
"depressed so just going to bed i guess ","1"
"Booo, House on Sky where I can't watch it  Crappy Freeview. I should go for a shower, feet are filthy but I can't be bothered.","1"
"@_sophie41 fair nuff I'm in the same boat I'm upset bout arsenals loss to Chelsea in fa cup semi ","1"
"I am upset bc my hubby will be gone all week for work ","1"
"i am tooo tired - i really can't be bothered to go to school tomororow and i don't understand twitter - it's odd ","1"
"work is soo depressing on a monday ","1"
"It's depressing how I know nothing of the intelligent people who have died recently.  It's like I am Jade Goody's legacy ","1"
"Is wearing the tightest sexiest skirt to work but feels like she looks like Betty Rubble/ Wilma Flinstone! and is still upset about Jude ","1"
"@judez_xo FINE! dont talk to me then?? :'(, im soo upset now ","1"
"i have to shower, i cant be bothered. ","1"
"Has a long week.....and really couldn't be any less upset that it's Monday already ","1"
"has woken up depressed and just hating himself  still listening to Tinchy Stryder ft. N-Dubz - Number 1 ... thanks Emma Latto (Y)","1"
"So depressing... the rain is relentless  ","1"
"running SUPER late b/c my stomach's upset... and its raining, so this drive is really gonna suck major ass ","1"
"is a bit upset that I suck at bejeweled ","1"
"Ugh!!! Got sick last night, tummys upset, freezing then sweating ...  not good.","1"
"The thought of coursework is just depressing meeeee! ","1"
"There's nothing more depressing than still having to use MSIE 6 to test HTML templates in.  That browser is older than your car people!","1"
"school tomorrow  really dreading it, its depressing. im off anyway. ill try get in one more tweet before school ..","1"
"Last day to be 34...   Halfway up the hill to 40... what a depressing thought!","1"
"Adolf Hitler was born today.  One more reason to be depressed.  ","1"
"@RSdhabaddest LOL so I guess ur upset about school too  see I told u HIGH SCHOOL IS SOOOO OLD NEWS!!!!!","1"
"@SilknPearls  Wife is always up at 5:50am, Im usually in till 8 but dogs in garage were bothered by something ","1"
"@beanpie87 Yes you were... and I will tell you that I am still upset that you shirked your responsibility. ","1"
"worried and bothered about some news ","1"
"@voodoo35 Yeah, sorry about the anxiety ","1"
"iam upset ","1"
"The rain is so depressing today ","1"
"i gotta off now. saddening i tell ya.  i miss onlining sooo bad!!","1"
"I'm pretty upset about what the doctor said to me today ","1"
"anxiety attack..     fuck this...","1"
"alone again........i still dnt no why he did wot he did ....it hurt....it made even more upset ","1"
"alone again........i still dnt no why he did wot he did ....it hurt....it made even more upset ","1"
"Just saw a poor wee dead cat. Very upsetting. ","1"
"Started school, it felt like we never had holidays, its so depressing ","1"
"heading to work  so cannot be bothered!! Get my results from the docs today, fingers crossed!!","1"
"Damn, it upsets me when I find rendering issues in Safari, I always assume it's spot on. Random overflow redraw issue ","1"
"not the least being my tummy's upset. (the othr is unassuageable guilt. y don't i just march right up 2 wilbr &amp; tell him he's delicious?) ","1"
"Back home, minus a car until tomorrow and feeling rather depressed ","1"
"I just wanted to say...some people really freaking SUCK! Apparently not even &quot;friends&quot; are above stabbing u in the back.  so depressing.","1"
"i am upset coz im getting majorly screwed over by my boss ","1"
" can't believe the jumpers are gone...i'm really depressed now.","1"
"i've lost my ipod and am thoroughly depressed. how can i hit the gym without ac/dc to motivate me ... ","1"
"is really upset about close friends moving ","1"
"Heading to bed... Going to McCann later today to finish up some paperwork... Feeling depressed  IDK why","1"
"very depressed! Feels unloved ","1"
"Come ON Premiere. You take so long to render lately. Why? I iz upset ","1"
"Cant be bothered going to work this afternoon,  xxx... BuT IaM sO eXcItEd AbOuT GoInG tO IrElEnD On ThE 7th Of MaY xxx &lt;3","1"
"was upset because spongebob wasnt on last night ","1"
"i'm alive today! but also very upset we better have got the right tix or will be able to get them or i might cry. ","1"
"Well don't bother with sm presale seems it is dishing out tickets right at the back gutted or what ","1"
"@georgia_a_c lol, i wish! long story short, my friend sat next to him and got to talk to him, and i didnt. and now im upset. ","1"
"In Swedish class and having an upset stomach ","1"
"has a baby with an upset tummy  no school today on a big testing day  hopefully she will feel better for tomorrow","1"
"Is really wishing her kidneys would stop bothering her ","1"
"is tired! Why do I bother to even try?  maybe I should just give it all up...","1"
"is depressed, lonely, and just feeling poopy ","1"
"is more upset about her hair then she thought was humanly possbile... there's a chunk missing.  awkwaaaard.  ","1"
"twitter is  such a distraction!! haha i cant be bothered doing essays anymore! ","1"
"I think I need potassium, my head is bothering me. like it don't hurt a lot but ugh its a irritating feeling!! ","1"
" theres nothing to do. this weather is depressing. and im already depressed as it is. ","1"
"So upset. I've ruined over 20 peoples entire month of May financially. I think I'm going to cry. Pathetic right? Ugh! And my Mom's.   ","1"
"@seymone Yeah, I will go. Heaven help me if I don't get it I will be pretty upset ","1"
"So after sleeping for many hours, I'm convinced, and subsequently saddened, that I *don't* have Swine Flu. Nowhere near as epic. ","1"
"@BigToys  awww    don't bother... prefer real persons over google parts","1"
"@Canageek   I'm sorry about the depression, but it's really good to hear there are other options...","1"
"@officialjobros http://twitpic.com/4diat - really upset because i live in Australia JONAS doesn't come out till June ","1"
"watching the most depressing episode of deadliest catch ","1"
"so watching the angels lately is depressing. But it doesnt help when the closer sucks that much! Boo. Im sad ","1"
"i hate having anxiety  goodnight","1"
"sitting around fighting binge urges.... so... much.... leftover pizza pizza...  queue anxiety","1"
"Very upset that #Twitterfon has gone commercial.  Had to happen I suppose. What out #Tweetie - competition on the iPhone me thinks!","1"
"Totally pif-sick , having MAJOR separation anxiety from having to leave pif in Tally @aspann ","1"
"Its raining and its pretty depressing... ","1"
"@jesslovespanic Why you are so depressed today??? ","1"
"@JoeyGirl84 without me? I'm upset ","1"
"exhausted, can't sleep, listening to radio, waiting for advil to kick in. what a depressing friday night ","1"
"Ugh, it's so depressing not knowing whether the Jonas Brothers will be touring Australia or not ","1"
"@davidismyangel  yay! but omg, that seriously upset me what Daniel said  poorr him! and what would David think? D: P.S. 500th update!","1"
"can't sleep as usual. No roadtrip tomorrow since Michelle's car is still in the shop. This saddens me  http://plurk.com/p/rbnzv","1"
"my poor dog has anxiety  she can't be left alone for too long....just been informed that she has been crying all day. Poor Ellie ","1"
"am kinda in a mood to write, but don't have the get-up-and-go. besides, my dr freaked me out today and now i'm depressed.  DNW","1"
"I'm so upset... I shouldn't be doing this... McDonald's Late Night Menu ","1"
"Thanks. Thanks for well, saying you'd be out of the way and then decide it was too much bother to actually do it ","1"
"feels like it�s gonna be a restless day with lots of anxiety...(spelled right??) Not a good feeling ","1"
"@pmargosian I'm really upset about the whole situation  since u tweet, u should takeover their twitter acct. (pwease?..) LOL","1"
"I am one of th nicest,kindest people you could ever meet..check out my friends to see. But comments like @katyperry 's,really upset me!!! ","1"
"has an upset tummy. ","1"
"Working late tonight  although I'm not really bothered... I WILL survive","1"
"@adamrumbold But the rest of it was pretty depressing ","1"
"@jeremybogdan mint.com is sweet, I've been using it for a month now, but it can be a bit depressing looking at the spending breakdowns... ","1"
"@AndrewBird 's music is too depressing ","1"
